name,latitude,longitude,description,Camera,Historical,Streetview,*icon,*media,*media-title,*media-caption,*date_start,*date_end,*kml_url
Moves in My Lifetime,,,Here is a tour of all the place I have lived over my lifetime. Enjoy!,,,0,,https://lh3.googleusercontent.com/-lyvR15YgjS0/Xh8tTeOGgTI/AAAAAAAAAAM/q7SmNB6dZzoxqWZ0c8zJ_3sX6zlq-by5gCLcBGAsYHQ/,'','',,,
Saskatoon Saskatchewan,52.17897678884546,-106.62956091230467,Born here and spent my first days in the great west,-106.64672704999998|52.12764237989019|15384.69354344829|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-r1ZBhUmfsfg/Xh8tqOqw4FI/AAAAAAAAAAU/y4WNVnIX6wgNTiOeYSjqY7Mpo7WXm_Y6gCLcBGAsYHQ/,'','',1965-08-23,1967-05-05,
Sudbury Ontario,46.451310932398556,-80.99664275837404,My early childhood days were spent in the city of Sudbury...Learned to ride a bike here.,-80.98891799641116|46.45257048905206|4316.371551850986|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-circle.png,https://lh3.googleusercontent.com/-QWxErhO39D4/Xh8uukMoSjI/AAAAAAAAAAg/hvOWo5BLOD4s6Mz3hmtcNy_VjK4bSxHugCLcBGAsYHQ/,'','',1967-05-07,1972-08-07,
Chelmsford Ontario,46.576481057543596,-81.19238507456055,Learned to play hockey here,-81.1980499|46.580236200000016|2153.121354926475|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-GKmMGT1Hrpw/Xh8v8M2hAfI/AAAAAAAAAAs/vLB3dIe148wI5TIIJuWTxWIa7s3gk-AowCLcBGAsYHQ/,'','',1972-08-07,1979-11-02,
CopperCliff,46.46693239686879,-81.07275242252194,Short stay here while our house was being built,-81.06807464999997|46.474360049999994|2157.3221549528807|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-CuOIn_C5Zvo/Xh8wy2uRp_I/AAAAAAAAAA4/aZq1OM8PKyoUb55Wva3zTp9uVJWpqH-UwCLcBGAsYHQ/,'','',1979-11-02,1980-02-04,
Lively,46.4365557,-81.14657460000001,Went tyo high school then University in Sudbury,-81.14346494999995|46.43572700000001|4317.706294653034|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-GTNJQcTynYc/Xh8xlngwbbI/AAAAAAAAABA/h1TUxX2-k6g298JmYvoetKMlTyCIpwR2wCLcBGAsYHQ/,'','',1980-02-04,1988-04-08,
Thunder Bay,48.4517332946159,-89.25717620356443,Got my first real jo b here... Met my spouse here!,-89.24927978022458|48.43855861468757|8312.822073121155|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-xKeYcuEg6w4/Xh8yO5u7-9I/AAAAAAAAABI/FBADHSws9rw4HU_lDPRwQhXNB1S_KRLnQCLcBGAsYHQ/,'','',1988-04-10,1993-12-22,
Port Hope Ontario,43.96673845347785,-78.27489170535887,Started by business&nbsp; here.!,-78.28308853610838|43.96060068720601|2254.8641338205894|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-fHCv8Ny4FY4/Xh8zOohVtZI/AAAAAAAAABU/S0RkSCDWvR4pNXSIp5UEoVTQiwVchzdPACLcBGAsYHQ/,'','',1993-12-30,2006-08-20,
Peterborough Ontario,44.3568678,-78.30826990000003,Current Home,-78.30825364999998|44.356958450000015|559.9419101512669|0.0|0.0|0.0|relativeToGround,,0,https://maps.google.com/mapfiles/kml/paddle/red-blank.png,https://lh3.googleusercontent.com/-7SrXgcCQF7Q/Xh8z2fc7hrI/AAAAAAAAABc/-fG1bsF30oEcx_TmsiTUKeyai4NsiwZqQCLcBGAsYHQ/,'','',2006-08-20,2020-01-15,
